Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
Demo,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,3,$0.01,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Demo,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,1,$0.00,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Demo,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,2,$8.00,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,3,$0.15,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,1,$0.03,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,1,$0.08,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Demo,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,7,$0.02,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,68,$0.05,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,36,$0.04,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,"1,225",$4.90,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,1,$0.00,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,26,$0.07,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,2,$8.00,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,87,$2.22,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,1,$0.05,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,594,$47.52,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"1,735",$5.21,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
