Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,235,$1.18,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Orando Holdings,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,9,$0.01,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Orando Holdings,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,2,$0.00,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Orando Holdings,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,19,$0.08,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Orando Holdings,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,4,$0.01,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Orando Holdings,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,9,$0.02,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Orando Holdings,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Orando Holdings,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,7,$0.20,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Orando Holdings,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,13,$1.04,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Orando Holdings,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,26,$0.08,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Demo,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,3,$0.02,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Demo,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,1,$0.00,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Demo,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - API Start Call,2,$0.01,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Demo,MNC Tech Sdn Bhd,Service,Sip Calls,Non Geographic,SIP Out Minutes,2,$0.01,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Demo,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,2,$8.00,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,1,$0.08,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
